PaperID,Model-Focused Only,Tool/Platform-Focused,Real-World Case Study or Application,Mentions Human/User Factors,Primary Focus on Cost Estimation
110,Yes || Proposes a machine learning optimization model using Random Forest with 98% accuracy for cost prediction.,No || Not mentioned or unclear.,Yes || Model was developed and evaluated using actual data from two construction projects.,No || Not mentioned or unclear.,Yes
111,No || Focuses on IFC data model implementation rather than AI/ML model development.,Yes || Describes a code developed in IfcOpenShell for IFC-based cost estimation system.,Yes || Applied methodology to a real case of a structural model and validated with actual project.,Yes || Explicitly mentions reducing human error and supporting public tender quality.,Yes
112,Yes || Proposes and compares machine learning models including ANN and ensemble methods for cost prediction with accuracy metrics.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
113,Yes || Proposes a hybrid GAR-LASSO-BPNN model for cost prediction with performance comparisons and error evaluation metrics.,No || Not mentioned or unclear.,No || Uses residential project data but no mention of actual implementation or field testing.,Yes || Mentions current cost estimation relies on cost personnel's experience and aims to provide decision support for cost estimators.,Yes
114,Yes || Proposes multiple ML models including BO-GBRT and BO-RFR for forest canopy closure estimation with detailed accuracy metrics.,No || Not mentioned or unclear.,Yes || Applied to real forest area in Shangri-la northwestern Yunnan with measured sample data and spatial mapping validation.,No || Not mentioned or unclear.,No
115,Yes || Proposes an ARIMA algorithm model for cost prediction with detailed simulation results and evaluation metrics.,No || Not mentioned or unclear.,No || Uses existing datasets but no real construction project implementation mentioned.,No || Not mentioned or unclear.,No || Focuses on software cost estimation not construction cost estimation.
116,Yes || Proposes a DNN-based framework for cost estimation with specific accuracy metrics (94.67% mapping with 11.60% MAPE).,Yes || Describes a framework with an innovative estimator validation unit as a system component.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
117,Yes || Proposes a CBR model with ML techniques for facade cost estimation and uses Solver in Excel to optimize weights.,Yes || Employs Excel Solver software as a tool to determine optimal weights in the CBR model.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
118,Yes || Proposes an autonomous grading algorithm with simulation for cost and duration estimation of excavation work.,Yes || Describes a simulator system that calculates consumed energy time and total cost of excavation operations.,No || Uses simulation data for different dozer specifications but no actual construction project implementation mentioned.,No || Not mentioned or unclear.,Yes
119,Yes || Develops a multilinear regression model to predict claimed value from delay disputes.,No || Not mentioned or unclear.,Yes || Analyzes 40 real delay dispute cases from Kuwait's Ministry of Justice.,No || Not mentioned or unclear.,No
120,Yes || Proposes an Autoencoder and Random Forest model for software cost estimation with experimental validation on multiple datasets.,No || Not mentioned or unclear.,Yes || Tests the model on three real datasets (COCOMO81 Albrecht and Desharnais) and compares with other cost prediction models.,No || Not mentioned or unclear.,No
121,Yes || Proposes a Grasshopper Optimization Algorithm-Guided Multi-Layer Perceptron with Transfer Learning model for cost prediction with experimental results showing improved R2 values.,No || Not mentioned or unclear.,Yes || Verified on two datasets from different areas with experimental results comparing performance metrics.,No || Not mentioned or unclear.,Yes
122,Yes || Reviews AI techniques like gradient boosting and neural networks for cost prediction with performance comparisons.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
123,No || Focuses on BIM integration with claims management rather than proposing specific AI/ML models for prediction.,Yes || Describes BIM-based systems for claims management and their integration with quantity surveying practices.,Yes || Includes semistructured interviews with eight construction professionals in the UK providing real-world insights.,Yes || Discusses resistance to change and need for continuous upskilling as human factors affecting BIM adoption.,No || Primary focus is on claims management and dispute avoidance with cost estimation as a secondary benefit.
124,No || Focuses on developing a framework rather than proposing specific AI/ML models or algorithms.,Yes || Describes development of a BDA framework as a tool for construction cost estimation.,Yes || Involves questionnaire survey with registered Consulting Quantity Surveying Practice professionals in Malaysia.,Yes || Examines industry awareness and comprehension of BDA processes among quantity surveyors and mentions digital transformation of estimator workflows.,Yes
